corpus_id,shard_ordinal,source_path,bytes,sha256,rows,row_groups,occurrences,alias_counts_json
GCI-HOLD-0001,11,literature_zh-00011-of-00233.parquet,890822600,9b93bf266d7bc72ab4ba6c374ca2cd416333089fdd711a04d5979d74569d626f,250000,1,19003,"{""九黎"": 47, ""共工"": 347, ""共工氏"": 33, ""句龙"": 11, ""后土"": 308, ""太昊"": 59, ""女娃"": 37, ""女娲"": 998, ""少昊"": 118, ""帝江"": 41, ""帝鸿"": 6, ""帝鸿氏"": 2, ""应龙"": 188, ""有熊氏"": 13, ""榆罔"": 16, ""涿鹿"": 324, ""炎帝"": 658, ""神农"": 998, ""禹"": 11149, ""精卫"": 625, ""缙云氏"": 5, ""蚩尤"": 114, ""赤帝"": 32, ""轩辕"": 356, ""轩辕氏"": 18, ""阪泉"": 33, ""雨师"": 43, ""颛顼"": 1, ""风伯"": 25, ""黄帝"": 2390, ""黄帝氏"": 8}"
GCI-HOLD-0001,12,literature_zh-00012-of-00233.parquet,902085182,0290cb9e20700716e35614f4311f431f7c912650cfd79a37d95324fd07c7e9fd,250000,1,20547,"{""九黎"": 49, ""共工"": 438, ""共工氏"": 30, ""句龙"": 7, ""后土"": 313, ""太昊"": 119, ""女娃"": 41, ""女娲"": 351, ""少昊"": 128, ""帝江"": 5, ""帝鸿"": 11, ""帝鸿氏"": 4, ""应龙"": 519, ""有熊氏"": 14, ""榆罔"": 14, ""涿鹿"": 414, ""炎帝"": 529, ""神农"": 735, ""禹"": 11237, ""精卫"": 797, ""缙云氏"": 7, ""蚩尤"": 48, ""赤帝"": 136, ""轩辕"": 1183, ""轩辕氏"": 31, ""阪泉"": 26, ""雨师"": 30, ""颛顼"": 7, ""风伯"": 25, ""鲧"": 3, ""黄帝"": 3262, ""黄帝氏"": 34}"
GCI-HOLD-0001,13,literature_zh-00013-of-00233.parquet,897852490,f788d48106c8811d55c7daaad5bed37e983d328ff1b0c7a627b41ad136bf34e9,250000,1,18764,"{""九黎"": 50, ""共工"": 490, ""共工氏"": 64, ""句龙"": 26, ""后土"": 472, ""太昊"": 98, ""女娃"": 42, ""女娲"": 415, ""少昊"": 138, ""帝江"": 9, ""帝鸿"": 31, ""帝鸿氏"": 3, ""应龙"": 296, ""有熊氏"": 15, ""榆罔"": 15, ""涿鹿"": 389, ""炎帝"": 676, ""神农"": 997, ""禹"": 10565, ""精卫"": 819, ""缙云氏"": 5, ""蚩尤"": 117, ""赤帝"": 44, ""轩辕"": 366, ""轩辕氏"": 26, ""阪泉"": 22, ""雨师"": 63, ""颛顼"": 6, ""风伯"": 37, ""鲧"": 2, ""黄帝"": 2451, ""黄帝氏"": 15}"
GCI-HOLD-0001,14,literature_zh-00014-of-00233.parquet,906201453,291b7e5abeb9d6abee9405c6ee63bd58f10e1a6549bbf111939e34b9f578efe7,250000,1,19947,"{""九黎"": 34, ""共工"": 352, ""共工氏"": 22, ""句龙"": 6, ""后土"": 284, ""太昊"": 177, ""女娃"": 28, ""女娲"": 417, ""少昊"": 266, ""帝江"": 54, ""帝鸿"": 11, ""帝鸿氏"": 5, ""应龙"": 218, ""有熊氏"": 18, ""榆罔"": 3, ""涿鹿"": 332, ""炎帝"": 661, ""神农"": 932, ""禹"": 11954, ""精卫"": 768, ""缙云氏"": 25, ""蚩尤"": 53, ""赤帝"": 84, ""轩辕"": 329, ""轩辕氏"": 42, ""阪泉"": 35, ""雨师"": 54, ""颛顼"": 3, ""风伯"": 35, ""鲧"": 2, ""黄帝"": 2736, ""黄帝氏"": 7}"
GCI-HOLD-0001,15,literature_zh-00015-of-00233.parquet,908111913,074d41ba420c747441fefb1c0626d3087d77e43d36bb8c9bd17422a8711b36fc,250000,1,19654,"{""九黎"": 102, ""共工"": 411, ""共工氏"": 28, ""句龙"": 10, ""后土"": 281, ""太昊"": 94, ""女娃"": 39, ""女娲"": 380, ""少昊"": 113, ""帝江"": 3, ""帝鸿"": 11, ""帝鸿氏"": 2, ""应龙"": 264, ""有熊氏"": 14, ""榆罔"": 5, ""涿鹿"": 477, ""炎帝"": 581, ""神农"": 996, ""禹"": 12326, ""精卫"": 674, ""缙云氏"": 20, ""蚩尤"": 39, ""赤帝"": 40, ""轩辕"": 356, ""轩辕氏"": 35, ""阪泉"": 27, ""雨师"": 44, ""颛顼"": 3, ""风伯"": 65, ""鲧"": 1, ""黄帝"": 2208, ""黄帝氏"": 5}"
GCI-HOLD-0001,16,literature_zh-00016-of-00233.parquet,904554797,7afefba5605efee92ac4cedcc1c5f2407655d52a527c6cd5e15dee5e04f97755,250000,1,19952,"{""九黎"": 65, ""共工"": 431, ""共工氏"": 38, ""句龙"": 18, ""后土"": 327, ""太昊"": 198, ""女娃"": 43, ""女娲"": 353, ""少昊"": 213, ""帝江"": 10, ""帝鸿"": 23, ""帝鸿氏"": 4, ""应龙"": 333, ""有熊氏"": 7, ""榆罔"": 10, ""涿鹿"": 321, ""炎帝"": 958, ""神农"": 1101, ""禹"": 11045, ""精卫"": 897, ""缙云氏"": 3, ""蚩尤"": 35, ""赤帝"": 52, ""轩辕"": 596, ""轩辕氏"": 28, ""阪泉"": 76, ""雨师"": 27, ""颛顼"": 4, ""风伯"": 27, ""黄帝"": 2695, ""黄帝氏"": 14}"
GCI-HOLD-0001,17,literature_zh-00017-of-00233.parquet,892219821,9a9f72e6decc83a9eed9cfe0a0988a1c4389a1882f2051abed989b293a3b8b67,250000,1,19100,"{""九黎"": 40, ""共工"": 532, ""共工氏"": 32, ""句龙"": 26, ""后土"": 273, ""太昊"": 107, ""女娃"": 69, ""女娲"": 500, ""少昊"": 215, ""少皞"": 2, ""帝江"": 9, ""帝鸿"": 23, ""帝鸿氏"": 5, ""应龙"": 136, ""有熊氏"": 17, ""榆罔"": 2, ""涿鹿"": 366, ""炎帝"": 680, ""神农"": 1189, ""禹"": 11165, ""精卫"": 529, ""缙云氏"": 6, ""蚩尤"": 48, ""赤帝"": 40, ""轩辕"": 391, ""轩辕氏"": 44, ""阪泉"": 41, ""雨师"": 43, ""颛顼"": 1, ""风伯"": 24, ""鲧"": 11, ""黄帝"": 2520, ""黄帝氏"": 14}"
GCI-HOLD-0001,18,literature_zh-00018-of-00233.parquet,909682463,cfbc62a4cb629e466cce180919fe8e02b31f191dfb6b757482ae40166fa6e600,250000,1,19784,"{""九黎"": 35, ""共工"": 366, ""共工氏"": 12, ""句龙"": 7, ""后土"": 254, ""太昊"": 106, ""女娃"": 56, ""女娲"": 544, ""少昊"": 113, ""少皞"": 8, ""帝江"": 4, ""帝鸿"": 17, ""帝鸿氏"": 4, ""应龙"": 158, ""有熊氏"": 11, ""榆罔"": 2, ""涿鹿"": 359, ""炎帝"": 744, ""神农"": 960, ""禹"": 11724, ""精卫"": 963, ""缙云氏"": 5, ""蚩尤"": 51, ""赤帝"": 58, ""轩辕"": 342, ""轩辕氏"": 25, ""阪泉"": 53, ""雨师"": 41, ""颛顼"": 12, ""风伯"": 74, ""鲧"": 1, ""黄帝"": 2656, ""黄帝氏"": 19}"
GCI-HOLD-0001,19,literature_zh-00019-of-00233.parquet,892342062,0d6998d066332474713ec9d738d2bbf8585372abd33a7e5faf1af0052fdf12ea,250000,1,19226,"{""九黎"": 59, ""共工"": 402, ""共工氏"": 37, ""句龙"": 18, ""后土"": 310, ""太昊"": 120, ""女娃"": 34, ""女娲"": 492, ""少昊"": 224, ""帝江"": 3, ""帝鸿"": 9, ""应龙"": 300, ""有熊氏"": 22, ""榆罔"": 15, ""涿鹿"": 428, ""炎帝"": 682, ""神农"": 1051, ""禹"": 11424, ""精卫"": 703, ""蚩尤"": 44, ""赤帝"": 45, ""轩辕"": 287, ""轩辕氏"": 29, ""阪泉"": 29, ""雨师"": 45, ""颛顼"": 3, ""风伯"": 34, ""黄帝"": 2361, ""黄帝氏"": 16}"
GCI-HOLD-0001,20,literature_zh-00020-of-00233.parquet,895147140,a9e5e16b5a25718e99edb65fc0bb4bc2c8725ad1a3dd0293627f244452351cc1,250000,1,24481,"{""九黎"": 162, ""共工"": 432, ""共工氏"": 23, ""句龙"": 18, ""后土"": 244, ""太昊"": 145, ""女娃"": 111, ""女娲"": 636, ""少昊"": 118, ""帝江"": 2, ""帝鸿"": 41, ""帝鸿氏"": 18, ""应龙"": 373, ""有熊氏"": 14, ""榆罔"": 5, ""涿鹿"": 383, ""炎帝"": 667, ""神农"": 969, ""禹"": 12560, ""精卫"": 653, ""缙云氏"": 17, ""蚩尤"": 78, ""赤帝"": 40, ""轩辕"": 4268, ""轩辕氏"": 25, ""阪泉"": 24, ""雨师"": 108, ""颛顼"": 10, ""风伯"": 64, ""鲧"": 27, ""黄帝"": 2231, ""黄帝氏"": 15}"
