query,hit_rank,corpus_id,source_file,unit_no,locator_type,sha1,fts_query
炎帝,15,GCI-HOLD-0003,08梁书.txt,1556,line,d8c5a812ea59afc25a541c45aa0ecacecc272842,"""炎 帝"""
炎帝,16,GCI-HOLD-0003,10魏书.txt,3680,line,4f7a505fb5dc8c31e9e78ce42421972bb5e71c03,"""炎 帝"""
炎帝,17,GCI-HOLD-0003,12周书.txt,5,line,18be902dbae7f4564e0590d16d9f0aca49d29c3c,"""炎 帝"""
炎帝,18,GCI-HOLD-0003,13隋书.txt,124,line,2e27964e90d8080c7593e9cfaaf537f44308af53,"""炎 帝"""
炎帝,19,GCI-HOLD-0003,13隋书.txt,1370,line,d1fc027da3bedcb7866e7d255071541bfe140ca1,"""炎 帝"""
炎帝,20,GCI-HOLD-0003,14北史.txt,406,line,099f2eccbf1940e67114899211b95e79f2a9bebb,"""炎 帝"""
炎帝,21,GCI-HOLD-0003,16旧唐书.txt,1233,line,5082bf9feddfc770de26d15e707236fd3750ea3c,"""炎 帝"""
炎帝,22,GCI-HOLD-0003,17新唐书.txt,9762,line,ce4a9a1ef96eaa447705a40f65f56fb5ad3ac228,"""炎 帝"""
炎帝,23,GCI-HOLD-0003,17新唐书.txt,9771,line,74e6799b6d6dc21f7eab4eab5a23b59ee2d58fe1,"""炎 帝"""
炎帝,24,GCI-HOLD-0003,17新唐书.txt,9779,line,fd71be5d396a3f0421008726f51d43235bd5b867,"""炎 帝"""
炎帝,25,GCI-HOLD-0003,17新唐书.txt,12599,line,e79bdd7375d52429a5e438f0e75b17a5c19319bf,"""炎 帝"""
赤帝,1,GCI-HOLD-0003,01史记.txt,430,line,b5b55a7606cb23003b09a52459c702d6a5edc510,"""赤 帝"""
赤帝,2,GCI-HOLD-0003,01史记.txt,433,line,5ed732c3c39088bc2b9561babe48fd0e8af4a3b2,"""赤 帝"""
赤帝,3,GCI-HOLD-0003,01史记.txt,656,line,b224a86aa0110e25d79ee84068809e6c09b64b8f,"""赤 帝"""
赤帝,4,GCI-HOLD-0003,01史记.txt,1207,line,c5ce10aec09dcfa19a2c7ceb018f903ad19339e2,"""赤 帝"""
赤帝,5,GCI-HOLD-0003,01史记.txt,1245,line,17a5e49717deb5f84ed8fd60b4f6da719ba8b54c,"""赤 帝"""
赤帝,6,GCI-HOLD-0003,01史记.txt,1246,line,2d91c80043120acf1ae8a5ac3d1a48d42d20d491,"""赤 帝"""
赤帝,7,GCI-HOLD-0003,01史记.txt,1303,line,7999f9b776f43fab4147eeafab4f73f0c6360397,"""赤 帝"""
赤帝,8,GCI-HOLD-0003,02汉书.txt,10,line,67f054b87dd4c3069544bed5d3240652089edaf0,"""赤 帝"""
赤帝,9,GCI-HOLD-0003,02汉书.txt,13,line,53e37633dd1d3a5ada730f600090d8d68dd7d883,"""赤 帝"""
赤帝,10,GCI-HOLD-0003,02汉书.txt,1788,line,21d324adc67e46f854900233eb5e5bb4aea7c440,"""赤 帝"""
赤帝,11,GCI-HOLD-0003,02汉书.txt,1789,line,08ed850b1f1b90a36523c6019c44c7b653228be1,"""赤 帝"""
赤帝,12,GCI-HOLD-0003,02汉书.txt,1840,line,13a394b4c2263dc7e7c069a1e3773ae9a6a61630,"""赤 帝"""
赤帝,13,GCI-HOLD-0003,02汉书.txt,1879,line,28fd88d638229af9601ae1ab02bd0c3c47d06345,"""赤 帝"""
赤帝,14,GCI-HOLD-0003,02汉书.txt,6617,line,a4f29c1336019a78d29bfcb9ce8afc39482a7768,"""赤 帝"""
赤帝,15,GCI-HOLD-0003,02汉书.txt,6811,line,69257814bf5f74b95ccf37c592016f6326bd110b,"""赤 帝"""
赤帝,16,GCI-HOLD-0003,03后汉书.txt,7015,line,34c11bb17662fc77cec5cff72f2ab0ea35059f87,"""赤 帝"""
赤帝,17,GCI-HOLD-0003,03后汉书.txt,7017,line,9f102e7a7438952a9e09ad55974602c04175154a,"""赤 帝"""
赤帝,18,GCI-HOLD-0003,03后汉书.txt,7023,line,b0b5e4d739a959396347acb25e7c310cecfc4c53,"""赤 帝"""
赤帝,19,GCI-HOLD-0003,03后汉书.txt,7035,line,c0d0587155f2ac909af00a91894fbfbd6dfd565f,"""赤 帝"""
赤帝,20,GCI-HOLD-0003,04三国志.txt,141,line,596ee05f4af17565d36e8b546286227e732ccea2,"""赤 帝"""
赤帝,21,GCI-HOLD-0003,05晋书.txt,348,line,6be0edc0531b73563f532cc78114294250afd02b,"""赤 帝"""
赤帝,22,GCI-HOLD-0003,06宋书.txt,487,line,5c678632586d45e1a215afbd92c2c88aaf62d2b8,"""赤 帝"""
赤帝,23,GCI-HOLD-0003,06宋书.txt,1221,line,a8b6df65cf0acfec274bdeb2a36b070f51fae24d,"""赤 帝"""
赤帝,24,GCI-HOLD-0003,06宋书.txt,2045,line,4c2efffd1c36747086c01fd6bf35d7d217103d37,"""赤 帝"""
赤帝,25,GCI-HOLD-0003,06宋书.txt,2057,line,1534a42bc9c98c943746ddc9efbff0ae4fa05d06,"""赤 帝"""
黄帝,1,GCI-HOLD-0003,01史记.txt,4,line,a7898061207f1dd64627535d4e6924002d60c788,"""黄 帝"""
黄帝,2,GCI-HOLD-0003,01史记.txt,5,line,9c9125452c7050087f4342cb32990f952afa9744,"""黄 帝"""
黄帝,3,GCI-HOLD-0003,01史记.txt,6,line,421f5a62006e6fd006d7b04dbf54eb32a3722162,"""黄 帝"""
黄帝,4,GCI-HOLD-0003,01史记.txt,7,line,e06933324cd51db8702490660af1c81c782f9697,"""黄 帝"""
黄帝,5,GCI-HOLD-0003,01史记.txt,8,line,91e42db7d7c9325e5f091a23a968b54187410e54,"""黄 帝"""
黄帝,6,GCI-HOLD-0003,01史记.txt,10,line,f2d7f1bb7cacdd4053c1edca71ddafc0aff9b2cf,"""黄 帝"""
黄帝,7,GCI-HOLD-0003,01史记.txt,29,line,ba802375312e88fad6e760f7c259a320d54f9c16,"""黄 帝"""
黄帝,8,GCI-HOLD-0003,01史记.txt,30,line,416de23b98cb3a5bcd00939604c66dfaaa4944b1,"""黄 帝"""
黄帝,9,GCI-HOLD-0003,01史记.txt,33,line,9d964aead303fba8b2d5bf3d834c873a3f4f9ba9,"""黄 帝"""
黄帝,10,GCI-HOLD-0003,01史记.txt,122,line,f9b1d07d8ef1ab48de122934513db39ddc3bf253,"""黄 帝"""
黄帝,11,GCI-HOLD-0003,01史记.txt,220,line,1957d0704e6052a2c64479b2fb11b2dd07c76cc2,"""黄 帝"""
黄帝,12,GCI-HOLD-0003,01史记.txt,433,line,5ed732c3c39088bc2b9561babe48fd0e8af4a3b2,"""黄 帝"""
黄帝,13,GCI-HOLD-0003,01史记.txt,620,line,cfe3e60250f2fab4659e67a4b6a1dd4656107c34,"""黄 帝"""
黄帝,14,GCI-HOLD-0003,01史记.txt,622,line,657c0ac81b3d6a3b9a59508ad85e484aca1650f9,"""黄 帝"""
黄帝,15,GCI-HOLD-0003,01史记.txt,633,line,ca7da9da46b96c25776aad96bf4fcf2437b8110f,"""黄 帝"""
黄帝,16,GCI-HOLD-0003,01史记.txt,635,line,6c5161f1ecc4bb8e46eccb68df2701f44db5fa87,"""黄 帝"""
黄帝,17,GCI-HOLD-0003,01史记.txt,636,line,c96163fb3e26b8cfbc67b5d6506acea0ab3cd880,"""黄 帝"""
黄帝,18,GCI-HOLD-0003,01史记.txt,641,line,26844060fef4f2da8245170c6df95f72814cafe0,"""黄 帝"""
