时代,字符数,系统,词项,次数,每百万字
隋唐,5510533,娲—娃—蛙系统,黾,11,1.996177139307577
隋唐,5510533,娲—娃—蛙系统,精卫,0,0.0
隋唐,5510533,鸟—凤—风系统,鸟,437,79.3026736252192
隋唐,5510533,鸟—凤—风系统,凤,1824,331.00246382700186
隋唐,5510533,鸟—凤—风系统,凤凰,26,4.718236874727
隋唐,5510533,鸟—凤—风系统,玄鸟,11,1.996177139307577
隋唐,5510533,鸟—凤—风系统,朱鸟朱雀,50,9.073532451398076
隋唐,5510533,鸟—凤—风系统,精卫,0,0.0
隋唐,5510533,鸟—凤—风系统,风,2561,464.7463321606095
隋唐,5510533,鸟—凤—风系统,皇,8061,1462.8349018143979
五代两宋辽金,7712544,蛇—ta系统,他,1715,222.36501989486217
五代两宋辽金,7712544,蛇—ta系统,她,0,0.0
五代两宋辽金,7712544,蛇—ta系统,它,152,19.708153366774958
五代两宋辽金,7712544,蛇—ta系统,蛇,178,23.079284863723306
五代两宋辽金,7712544,蛇—ta系统,也,16801,2178.3992415472767
五代两宋辽金,7712544,蛇—ta系统,佗,66,8.557487646099652
五代两宋辽金,7712544,蛇—ta系统,牠,0,0.0
五代两宋辽金,7712544,蛇—ta系统,姐姊,82,10.632030105760174
五代两宋辽金,7712544,蛇—ta系统,巳,3611,468.198301364634
五代两宋辽金,7712544,蛇—ta系统,虺,14,1.8152246522029565
五代两宋辽金,7712544,蛇—ta系统,螣蛇,52,6.742262993896696
五代两宋辽金,7712544,蛇—ta系统,巴蛇,0,0.0
五代两宋辽金,7712544,蛇—ta系统,化蛇,0,0.0
五代两宋辽金,7712544,蛇—ta系统,鸣蛇,0,0.0
五代两宋辽金,7712544,娲—娃—蛙系统,娲,3,0.38897671118634786
五代两宋辽金,7712544,娲—娃—蛙系统,女娲,2,0.2593178074575653
五代两宋辽金,7712544,娲—娃—蛙系统,娃,0,0.0
五代两宋辽金,7712544,娲—娃—蛙系统,女娃,0,0.0
五代两宋辽金,7712544,娲—娃—蛙系统,蛙,4,0.5186356149151305
五代两宋辽金,7712544,娲—娃—蛙系统,青蛙,0,0.0
五代两宋辽金,7712544,娲—娃—蛙系统,黾,11,1.4262479410166087
五代两宋辽金,7712544,娲—娃—蛙系统,精卫,0,0.0
五代两宋辽金,7712544,鸟—凤—风系统,鸟,141,18.28190542575835
五代两宋辽金,7712544,鸟—凤—风系统,凤,1772,229.7555774074028
五代两宋辽金,7712544,鸟—凤—风系统,凤凰,35,4.538061630507392
五代两宋辽金,7712544,鸟—凤—风系统,玄鸟,3,0.38897671118634786
五代两宋辽金,7712544,鸟—凤—风系统,朱鸟朱雀,32,4.149084919321044
五代两宋辽金,7712544,鸟—凤—风系统,精卫,0,0.0
五代两宋辽金,7712544,鸟—凤—风系统,风,2583,334.9089483314455
五代两宋辽金,7712544,鸟—凤—风系统,皇,11214,1453.9949464145684
元,1939733,蛇—ta系统,他,369,190.2323670319575
元,1939733,蛇—ta系统,她,1,0.5155348700053048
元,1939733,蛇—ta系统,它,30,15.466046100159145
元,1939733,蛇—ta系统,蛇,58,29.901022460307683
元,1939733,蛇—ta系统,也,3491,1799.7322311885193
元,1939733,蛇—ta系统,佗,4,2.0621394800212194
元,1939733,蛇—ta系统,牠,0,0.0
元,1939733,蛇—ta系统,姐姊,22,11.341767140116707
元,1939733,蛇—ta系统,巳,1194,615.548634786334
元,1939733,蛇—ta系统,虺,0,0.0
元,1939733,蛇—ta系统,螣蛇,18,9.279627660095487
元,1939733,蛇—ta系统,巴蛇,0,0.0
元,1939733,蛇—ta系统,化蛇,0,0.0
元,1939733,蛇—ta系统,鸣蛇,0,0.0
元,1939733,娲—娃—蛙系统,娲,5,2.5776743500265242
元,1939733,娲—娃—蛙系统,女娲,2,1.0310697400106097
元,1939733,娲—娃—蛙系统,娃,8,4.124278960042439
元,1939733,娲—娃—蛙系统,女娃,0,0.0
元,1939733,娲—娃—蛙系统,蛙,2,1.0310697400106097
元,1939733,娲—娃—蛙系统,青蛙,0,0.0
元,1939733,娲—娃—蛙系统,黾,4,2.0621394800212194
元,1939733,娲—娃—蛙系统,精卫,0,0.0
元,1939733,鸟—凤—风系统,鸟,34,17.528185580180367
元,1939733,鸟—凤—风系统,凤,292,150.536182041549
元,1939733,鸟—凤—风系统,凤凰,6,3.093209220031829
元,1939733,鸟—凤—风系统,玄鸟,2,1.0310697400106097
元,1939733,鸟—凤—风系统,朱鸟朱雀,15,7.733023050079573
元,1939733,鸟—凤—风系统,精卫,0,0.0
元,1939733,鸟—凤—风系统,风,603,310.86752661319883
元,1939733,鸟—凤—风系统,皇,2412,1243.4701064527953
明,3434258,蛇—ta系统,他,1038,302.2486953513685
明,3434258,蛇—ta系统,她,0,0.0
明,3434258,蛇—ta系统,它,2,0.5823674284226753
明,3434258,蛇—ta系统,蛇,68,19.800492566370963
明,3434258,蛇—ta系统,也,7176,2089.534333180559
明,3434258,蛇—ta系统,佗,5,1.4559185710566882
明,3434258,蛇—ta系统,牠,0,0.0
明,3434258,蛇—ta系统,姐姊,60,17.471022852680257
明,3434258,蛇—ta系统,巳,748,217.80541823008056
明,3434258,蛇—ta系统,虺,4,1.1647348568453506
明,3434258,蛇—ta系统,螣蛇,5,1.4559185710566882
明,3434258,蛇—ta系统,巴蛇,0,0.0
明,3434258,蛇—ta系统,化蛇,0,0.0
明,3434258,蛇—ta系统,鸣蛇,0,0.0
明,3434258,娲—娃—蛙系统,娲,8,2.329469713690701
明,3434258,娲—娃—蛙系统,女娲,1,0.29118371421133765
明,3434258,娲—娃—蛙系统,娃,0,0.0
明,3434258,娲—娃—蛙系统,女娃,0,0.0
明,3434258,娲—娃—蛙系统,蛙,5,1.4559185710566882
明,3434258,娲—娃—蛙系统,青蛙,1,0.29118371421133765
明,3434258,娲—娃—蛙系统,黾,2,0.5823674284226753
明,3434258,娲—娃—蛙系统,精卫,0,0.0
明,3434258,鸟—凤—风系统,鸟,66,19.218125137948284
明,3434258,鸟—凤—风系统,凤,1300,378.5388284747389
明,3434258,鸟—凤—风系统,凤凰,32,9.317878854762805
明,3434258,鸟—凤—风系统,玄鸟,0,0.0
明,3434258,鸟—凤—风系统,朱鸟朱雀,7,2.038285999479364
明,3434258,鸟—凤—风系统,精卫,0,0.0
明,3434258,鸟—凤—风系统,风,1252,364.56201019259476
明,3434258,鸟—凤—风系统,皇,3663,1066.6059451561298
新元史扩展,2027141,蛇—ta系统,他,383,188.9360434227318
新元史扩展,2027141,蛇—ta系统,她,0,0.0
新元史扩展,2027141,蛇—ta系统,它,24,11.83933431369599
新元史扩展,2027141,蛇—ta系统,蛇,77,37.98453092310796
新元史扩展,2027141,蛇—ta系统,也,4061,2003.3140269966418
新元史扩展,2027141,蛇—ta系统,佗,1,0.4933055964039995
新元史扩展,2027141,蛇—ta系统,牠,0,0.0
新元史扩展,2027141,蛇—ta系统,姐姊,37,18.252307066947985
新元史扩展,2027141,蛇—ta系统,巳,696,343.3406950971837
新元史扩展,2027141,蛇—ta系统,虺,0,0.0
新元史扩展,2027141,蛇—ta系统,螣蛇,3,1.4799167892119987
新元史扩展,2027141,蛇—ta系统,巴蛇,0,0.0
新元史扩展,2027141,蛇—ta系统,化蛇,0,0.0
新元史扩展,2027141,蛇—ta系统,鸣蛇,0,0.0
新元史扩展,2027141,娲—娃—蛙系统,娲,4,1.973222385615998
新元史扩展,2027141,娲—娃—蛙系统,女娲,2,0.986611192807999
新元史扩展,2027141,娲—娃—蛙系统,娃,3,1.4799167892119987
新元史扩展,2027141,娲—娃—蛙系统,女娃,0,0.0
新元史扩展,2027141,娲—娃—蛙系统,蛙,5,2.466527982019998
新元史扩展,2027141,娲—娃—蛙系统,青蛙,0,0.0
新元史扩展,2027141,娲—娃—蛙系统,黾,4,1.973222385615998
新元史扩展,2027141,娲—娃—蛙系统,精卫,1,0.4933055964039995
新元史扩展,2027141,鸟—凤—风系统,鸟,56,27.625113398623974
新元史扩展,2027141,鸟—凤—风系统,凤,270,133.19251102907987
新元史扩展,2027141,鸟—凤—风系统,凤凰,6,2.9598335784239973
新元史扩展,2027141,鸟—凤—风系统,玄鸟,1,0.4933055964039995
新元史扩展,2027141,鸟—凤—风系统,朱鸟朱雀,16,7.892889542463992
新元史扩展,2027141,鸟—凤—风系统,精卫,1,0.4933055964039995
新元史扩展,2027141,鸟—凤—风系统,风,635,313.2490537165397
新元史扩展,2027141,鸟—凤—风系统,皇,2749,1356.0970845145946
清史稿扩展,5391829,蛇—ta系统,他,1068,198.0774983776377
清史稿扩展,5391829,蛇—ta系统,她,0,0.0
清史稿扩展,5391829,蛇—ta系统,它,16,2.967453159215546
清史稿扩展,5391829,蛇—ta系统,蛇,70,12.982607571568014
清史稿扩展,5391829,蛇—ta系统,也,5556,1030.4481095375984
清史稿扩展,5391829,蛇—ta系统,佗,4,0.7418632898038865
清史稿扩展,5391829,蛇—ta系统,牠,0,0.0
清史稿扩展,5391829,蛇—ta系统,姐姊,90,16.691924020587447
清史稿扩展,5391829,蛇—ta系统,巳,2214,410.62133090645125
清史稿扩展,5391829,蛇—ta系统,虺,7,1.2982607571568014
清史稿扩展,5391829,蛇—ta系统,螣蛇,4,0.7418632898038865
清史稿扩展,5391829,蛇—ta系统,巴蛇,0,0.0
清史稿扩展,5391829,蛇—ta系统,化蛇,0,0.0
清史稿扩展,5391829,蛇—ta系统,鸣蛇,0,0.0
