序号,书名,时代,字符数,系统,词项,变体,独立Raw次数,最长优先次数,每百万字
02,汉书,两汉史书层,937972,鸟—凤—风系统,朱鸟朱雀,朱鸟 / 朱鳥 / 朱雀,5,5,5.330649528983808
02,汉书,两汉史书层,937972,鸟—凤—风系统,精卫,精卫 / 精衛,0,0,0.0
02,汉书,两汉史书层,937972,鸟—凤—风系统,风,风 / 風,535,535,570.3794996012674
02,汉书,两汉史书层,937972,鸟—凤—风系统,皇,皇,1478,1478,1575.7400007676135
03,后汉书,两汉史书层,883521,蛇—ta系统,他,他,33,33,37.350555334847726
03,后汉书,两汉史书层,883521,蛇—ta系统,她,她,0,0,0.0
03,后汉书,两汉史书层,883521,蛇—ta系统,它,它,92,92,104.12882093351489
03,后汉书,两汉史书层,883521,蛇—ta系统,蛇,蛇 / 虵,50,50,56.59175050734505
03,后汉书,两汉史书层,883521,蛇—ta系统,也,也,3167,3167,3584.5214771352353
03,后汉书,两汉史书层,883521,蛇—ta系统,佗,佗,58,58,65.64643058852025
03,后汉书,两汉史书层,883521,蛇—ta系统,牠,牠,0,0,0.0
03,后汉书,两汉史书层,883521,蛇—ta系统,姐姊,姐 / 姊,54,54,61.11909054793264
03,后汉书,两汉史书层,883521,蛇—ta系统,巳,巳,168,168,190.14828170467933
03,后汉书,两汉史书层,883521,蛇—ta系统,虺,虺,6,6,6.791010060881405
03,后汉书,两汉史书层,883521,蛇—ta系统,螣蛇,螣蛇 / 腾蛇 / 騰蛇,2,2,2.2636700202938016
03,后汉书,两汉史书层,883521,蛇—ta系统,巴蛇,巴蛇,0,0,0.0
03,后汉书,两汉史书层,883521,蛇—ta系统,化蛇,化蛇,0,0,0.0
03,后汉书,两汉史书层,883521,蛇—ta系统,鸣蛇,鸣蛇 / 鳴蛇,0,0,0.0
03,后汉书,两汉史书层,883521,娲—娃—蛙系统,娲,娲 / 媧,0,0,0.0
03,后汉书,两汉史书层,883521,娲—娃—蛙系统,女娲,女娲 / 女媧,0,0,0.0
03,后汉书,两汉史书层,883521,娲—娃—蛙系统,娃,娃,0,0,0.0
03,后汉书,两汉史书层,883521,娲—娃—蛙系统,女娃,女娃,0,0,0.0
03,后汉书,两汉史书层,883521,娲—娃—蛙系统,蛙,蛙,3,3,3.3955050304407024
03,后汉书,两汉史书层,883521,娲—娃—蛙系统,青蛙,青蛙,0,0,0.0
03,后汉书,两汉史书层,883521,娲—娃—蛙系统,黾,黾 / 黽,11,11,12.450185111615909
03,后汉书,两汉史书层,883521,娲—娃—蛙系统,精卫,精卫 / 精衛,0,0,0.0
03,后汉书,两汉史书层,883521,鸟—凤—风系统,鸟,鸟 / 鳥,96,96,108.65616097410248
03,后汉书,两汉史书层,883521,鸟—凤—风系统,凤,凤 / 鳳,106,106,119.9745110755715
03,后汉书,两汉史书层,883521,鸟—凤—风系统,凤凰,凤凰 / 鳳凰 / 凤皇 / 鳳皇,21,21,23.768535213084917
03,后汉书,两汉史书层,883521,鸟—凤—风系统,玄鸟,玄鸟 / 玄鳥,1,1,1.1318350101469008
03,后汉书,两汉史书层,883521,鸟—凤—风系统,朱鸟朱雀,朱鸟 / 朱鳥 / 朱雀,6,6,6.791010060881405
03,后汉书,两汉史书层,883521,鸟—凤—风系统,精卫,精卫 / 精衛,0,0,0.0
03,后汉书,两汉史书层,883521,鸟—凤—风系统,风,风 / 風,590,590,667.7826559866714
03,后汉书,两汉史书层,883521,鸟—凤—风系统,皇,皇,1017,1017,1151.0762053193982
04,三国志,魏晋南北朝,854325,蛇—ta系统,他,他,171,171,200.15801948907034
04,三国志,魏晋南北朝,854325,蛇—ta系统,她,她,0,0,0.0
04,三国志,魏晋南北朝,854325,蛇—ta系统,它,它,1,1,1.1705147338542123
04,三国志,魏晋南北朝,854325,蛇—ta系统,蛇,蛇 / 虵,33,33,38.62698621718901
04,三国志,魏晋南北朝,854325,蛇—ta系统,也,也,5385,5385,6303.221841804933
04,三国志,魏晋南北朝,854325,蛇—ta系统,佗,佗,94,94,110.02838498229596
04,三国志,魏晋南北朝,854325,蛇—ta系统,牠,牠,0,0,0.0
04,三国志,魏晋南北朝,854325,蛇—ta系统,姐姊,姐 / 姊,38,38,44.479559886460066
04,三国志,魏晋南北朝,854325,蛇—ta系统,巳,巳,47,47,55.01419249114798
04,三国志,魏晋南北朝,854325,蛇—ta系统,虺,虺,2,2,2.3410294677084247
04,三国志,魏晋南北朝,854325,蛇—ta系统,螣蛇,螣蛇 / 腾蛇 / 騰蛇,0,0,0.0
04,三国志,魏晋南北朝,854325,蛇—ta系统,巴蛇,巴蛇,0,0,0.0
04,三国志,魏晋南北朝,854325,蛇—ta系统,化蛇,化蛇,0,0,0.0
